timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-21,123.97,124.18,121.72,123.39,123.39,6115671,0.0000,1.0
2020-12-18,125.59,126.4,124.97,125.85,125.85,7552845,0.0000,1.0
2020-12-17,126.08,126.09,124.91,125.55,125.55,3787962,0.0000,1.0
2020-12-16,125.93,126.5728,125.286,125.55,125.55,4530096,0.0000,1.0
2020-12-15,124.39,125.93,123.44,125.93,125.93,4359601,0.0000,1.0
2020-12-14,125.32,126.2435,123.47,123.53,123.53,5050023,0.0000,1.0
2020-12-11,124.08,125.51,123.61,124.27,124.27,4481416,0.0000,1.0
2020-12-10,126.35,126.93,124.94,124.96,124.96,4803172,0.0000,1.0
2020-12-09,125.8,127.69,125.7,126.79,126.79,6513517,0.0000,1.0
2020-12-08,125.32,126.33,124.64,125.71,125.71,5395024,0.0000,1.0
2020-12-07,126.49,126.97,124.57,124.7,124.7,8318500,0.0000,1.0
2020-12-04,123.97,127.38,123.64,127.2,127.2,5522760,0.0000,1.0
2020-12-03,124.16,124.86,123.29,123.61,123.61,4548161,0.0000,1.0
2020-12-02,122.85,124.64,122.41,124.62,124.62,3690737,0.0000,1.0
2020-12-01,123.9,125.83,123.08,123.16,123.16,5099334,0.0000,1.0
2020-11-30,124.1,125.0,123.09,123.52,123.52,5987991,0.0000,1.0
2020-11-27,124.2,125.313,123.91,124.35,124.35,2091186,0.0000,1.0
2020-11-25,122.93,124.33,122.11,124.2,124.2,4135894,0.0000,1.0
2020-11-24,120.86,124.73,120.805,124.42,124.42,7535949,0.0000,1.0
2020-11-23,117.43,120.515,117.27,120.09,120.09,5655119,0.0000,1.0
2020-11-20,117.6,118.04,116.69,116.94,116.94,5024593,0.0000,1.0
2020-11-19,116.54,117.45,115.89,117.18,117.18,3439648,0.0000,1.0
2020-11-18,117.72,118.88,116.75,116.77,116.77,4606828,0.0000,1.0
2020-11-17,117.6,118.54,117.07,117.7,117.7,4134455,0.0000,1.0
2020-11-16,118.3,118.55,117.12,118.36,118.36,5293385,0.0000,1.0
2020-11-13,115.19,117.37,115.01,116.85,116.85,4683512,0.0000,1.0
2020-11-12,115.63,116.37,113.48,114.5,114.5,6500799,0.0000,1.0
2020-11-11,118.12,118.35,116.22,117.2,117.2,4289601,0.0000,1.0
2020-11-10,116.69,118.17,116.25,117.91,117.91,5622756,0.0000,1.0
2020-11-09,117.88,119.74,115.27,115.53,115.53,8992152,1.6300,1.0
2020-11-06,115.08,115.1,113.39,114.04,112.453407306,5249171,0.0000,1.0
2020-11-05,113.3,115.29,113.01,114.77,113.17325111,4902206,0.0000,1.0
2020-11-04,112.33,113.91,111.16,111.9,110.343180266,5800071,0.0000,1.0
2020-11-03,114.0,115.65,113.63,114.16,112.571737794,4204287,0.0000,1.0
2020-11-02,112.65,113.8265,112.25,112.91,111.339128542,5311497,0.0000,1.0
2020-10-30,107.9,111.8,107.75,111.66,110.10651929,7923882,0.0000,1.0
2020-10-29,107.25,109.64,106.55,108.91,107.394778935,6760241,0.0000,1.0
2020-10-28,108.66,109.73,105.92,106.65,105.166221407,9427321,0.0000,1.0
2020-10-27,112.15,112.22,110.03,110.56,109.021823148,5936106,0.0000,1.0
2020-10-26,114.45,114.9,111.84,112.22,110.658728235,7203366,0.0000,1.0
2020-10-23,116.5,116.62,115.53,116.0,114.386138614,3893362,0.0000,1.0
2020-10-22,115.0,116.06,112.98,115.76,114.149477637,7858158,0.0000,1.0
2020-10-21,116.66,117.6899,114.79,115.06,113.459216456,9755308,0.0000,1.0
2020-10-20,119.8,120.15,116.84,117.37,115.737078354,21501073,0.0000,1.0
2020-10-19,126.8,127.35,125.08,125.52,123.773690679,7478735,0.0000,1.0
2020-10-16,125.17,126.43,124.655,125.93,124.177986514,4714320,0.0000,1.0
2020-10-15,124.08,125.215,123.85,124.89,123.152455616,3389301,0.0000,1.0
2020-10-14,125.13,126.94,125.13,125.94,124.187847388,3730139,0.0000,1.0
2020-10-13,126.57,127.15,124.46,125.1,123.359533971,5406088,0.0000,1.0
2020-10-12,128.07,128.25,126.44,127.21,125.440178389,4635115,0.0000,1.0
2020-10-09,132.0,132.0,127.6,127.79,126.012109082,8353704,0.0000,1.0
2020-10-08,130.86,135.5,129.77,131.49,129.660632468,25288926,0.0000,1.0
2020-10-07,122.67,124.39,122.32,124.07,122.343863947,2815663,0.0000,1.0
2020-10-06,122.58,124.83,121.59,121.97,120.273080403,3872265,0.0000,1.0
2020-10-05,121.84,122.75,121.05,122.01,120.312523899,3050949,0.0000,1.0
2020-10-02,119.04,121.75,118.82,120.57,118.89255804,2925228,0.0000,1.0
2020-10-01,122.36,123.3,120.355,121.09,119.405323489,3211661,0.0000,1.0
2020-09-30,121.38,122.91,120.8,121.67,119.977254182,3261235,0.0000,1.0
2020-09-29,121.41,122.1858,120.21,120.94,119.257410379,2130564,0.0000,1.0
2020-09-28,120.57,122.33,120.41,121.73,120.036419426,3509576,0.0000,1.0
2020-09-25,117.6,119.41,116.94,118.95,117.295096449,2953686,0.0000,1.0
2020-09-24,118.1,119.515,116.48,118.09,116.447061284,3546160,0.0000,1.0
2020-09-23,120.8,121.59,118.43,118.83,117.176765961,3939398,0.0000,1.0
2020-09-22,120.33,121.45,119.53,120.51,118.833392796,2957809,0.0000,1.0
2020-09-21,120.48,120.7,118.58,120.25,118.577010072,5311441,0.0000,1.0
2020-09-18,124.26,124.92,122.65,122.76,121.05208945,5391570,0.0000,1.0
